frame,pan,tilt
672,76.33,8.12
673,76.31,8.13
674,76.31,8.13
675,76.31,8.13
676,76.31,8.13
677,76.31,8.13
678,76.3,8.14
679,76.29,8.14
680,76.29,8.14
681,76.29,8.15
682,76.29,8.15
683,76.27,8.15
684,76.27,8.15
685,76.27,8.15
686,76.27,8.16
687,76.26,8.16
688,76.26,8.16
689,76.26,8.16
690,76.25,8.16
691,76.25,8.17
692,76.25,8.17
693,76.25,8.17
694,76.24,8.17
695,76.24,8.17
696,76.24,8.17
697,76.23,8.17
698,76.23,8.17
699,76.23,8.18
700,76.23,8.18
701,76.22,8.18
702,76.22,8.18
703,76.22,8.18
704,76.22,8.18
705,76.22,8.18
706,76.22,8.18
707,76.21,8.18
708,76.21,8.18
709,76.21,8.18
710,76.21,8.18
711,76.21,8.18
712,76.2,8.18
713,76.2,8.18
714,76.2,8.18
715,76.2,8.18
716,76.2,8.18
717,76.2,8.18
718,76.2,8.18
719,76.2,8.18
720,76.2,8.18
721,76.19,8.18
722,76.19,8.18
723,76.19,8.18
724,76.19,8.18
725,76.19,8.18
726,76.19,8.18
727,76.19,8.18
728,76.19,8.18
729,76.19,8.18
730,76.19,8.18
731,76.19,8.18
732,76.19,8.18
733,76.19,8.18
734,76.19,8.18
735,76.19,8.18
736,76.19,8.18
737,76.19,8.18
738,76.19,8.18
739,76.19,8.18
740,76.19,8.18
741,76.19,8.18
742,76.19,8.18
743,76.19,8.18
744,76.19,8.18
745,76.19,8.18
746,76.19,8.18
747,76.19,8.18
748,76.19,8.18
749,76.19,8.18
750,76.19,8.18
751,76.19,8.18
752,76.19,8.18
753,76.19,8.18
754,76.19,8.18
755,76.19,8.18
756,76.19,8.18
757,76.19,8.18
758,76.19,8.18
759,76.19,8.18
760,76.19,8.18
761,76.19,8.18
762,76.19,8.18
763,76.19,8.18
764,76.19,8.18
765,76.19,8.18
766,76.19,8.18
767,76.19,8.18
768,76.19,8.18
769,76.19,8.18
770,76.19,8.18
771,76.19,8.18
772,76.19,8.18
773,76.19,8.18
774,76.19,8.18
775,76.26,8.18
776,76.26,8.18
777,76.38,8.18
778,76.88,8.14
779,76.88,8.14
780,77.01,8.14
781,77.14,8.13
782,77.27,8.13
783,77.41,8.12
784,77.53,8.11
785,77.53,8.11
786,77.65,8.11
787,77.77,8.11
788,77.77,8.11
789,77.95,8.1
790,77.96,8.1
791,77.96,8.1
792,77.96,8.1
793,77.96,8.1
794,77.96,8.1
795,77.96,8.1
796,77.96,8.1
797,77.96,8.1
798,77.96,8.1
799,78.05,8.09
800,78.18,8.09
801,78.36,8.08
802,78.36,8.08
803,78.44,8.08
804,78.52,8.07
805,78.52,8.07
806,78.59,8.07
807,78.75,8.06
808,78.83,8.06
809,78.83,8.06
810,78.83,8.06
811,78.98,8.05
812,78.98,8.05
813,79.05,8.05
814,79.05,8.05
815,79.12,8.05
816,79.4,8.03
817,79.46,8.03
818,79.53,8.02
819,79.59,8.02
820,79.63,8.02
821,79.68,8.02
822,79.71,8.02
823,79.71,8.02
824,79.72,8.01
825,79.72,8.01
826,79.72,8.01
827,79.73,8.01
828,79.76,8.01
829,79.76,8.01
830,79.83,8.01
831,79.86,8.01
832,79.89,8
833,79.89,8
834,79.89,8
835,79.89,8
836,79.99,8
837,80.01,8
838,80.04,7.99
839,80.04,7.99
840,80.08,7.99
841,80.08,7.99
842,80.13,7.99
843,80.15,7.99
844,80.19,7.98
845,80.21,7.98
